date,name,logo
2026-02-04,FredagsStandup: Februar,flogo.svg
2026-02-05,Opstart og filmafstemning,fkult.webp
2026-02-06,Bærbar: Semesterstart,flogo.svg
2026-02-12,Filmaften: Hvad laver de rige nu?,fkult.webp
2026-02-13,Val(g)entines Bar m. SoFiA,adsl.png
2026-02-16,Falbum øvedag (1/3),flogo.svg
2026-02-18,Falbum øvedag (2/3),flogo.svg
2026-02-18,Linux Install Party,asck.png
2026-02-19,Falbum øvedag (3/3),flogo.svg
2026-02-20,F-astelavn,initiv.svg
2026-02-24,Falbum indspilningsdag,flogo.svg
2026-02-26,Filmaften: Sort/Hvid aften,fkult.webp
2026-03-04,FredagsStandup: Marts,flogo.svg
2026-03-04,Git Gut with Git and Shell,asck.png
2026-03-06,Bærbar,flogo.svg
2026-03-12,Filmaften: Kæmpe obsession eller kæmpe talent? Begge?,fkult.webp
2026-03-18,SBCC - Running & Benchmarking Clusters,asck.png
2026-03-20,F-dag,initiv.svg
2026-03-25,Brætspilsaften + Generalforsamling,adsl.png
2026-03-26,Filmaften: Literally 1984 Comedy,fkult.webp
2026-03-26,Bowling 2026!,fixd.png
2026-04-01,FredagsStandup: April,flogo.svg
2026-04-02,Facking v8,fit.svg
2026-04-03,FLAN 46368.0,flan.webp
2026-04-04,FLAN 46368.0,flan.webp
2026-04-05,FLAN 46368.0,flan.webp
2026-04-08,Code Golfing 101 - Elegance in Conciseness,asck.png
2026-04-09,Filmaften: Totally mentally stable characters,fkult.webp
2026-04-10,Feaster,initiv.svg
2026-04-22,Kubernetes 101 - Distributed Computing,asck.png
2026-04-23,Filmaften: Cinema Paradiso,fkult.webp
2026-05-02,F-Klubbens 50-års Jubilæum,flogo.svg
2026-05-06,FredagsStandup: Maj,flogo.svg
2026-05-06,NixOS & Declarative Config,asck.png
2026-05-07,Filmaften: Hvad tror vi på når Sovjet vakler?,fkult.webp
2026-05-14,F-Sportsdag,initiv.svg
2026-05-21,Filmaften: Rotter i køkkenet fra Pixar og Temu,fkult.webp
2026-06-03,FredagsStandup: Juni,flogo.svg
